Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2022

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.08.2024


Year  Month        Temperature      Precipitation  
1911     11                3.5               68.5  
1911     12                0.1              122.9  
1912      1               -1.5               84.4  
1912      2                1.7               55.0  
1912      3                3.1              104.5  
1912      4                3.5               92.8  
1912      5                9.8              246.7  
1912      6               12.4              129.1  
1912      7               13.6              134.3  
1912      8               10.7              221.5  
1912      9                5.3               84.5  
1912     10                4.3              164.0  
1912     11               -2.7               94.7  
1912     12               -1.4               81.2  
1913      1               -1.3               94.7  
1913      2               -3.3               23.8  
1913      3                2.8               45.9  
1913      4                4.6              109.5  
1913      5                9.3              105.7  
1913      6               11.4              194.6  
1913      7               10.7              248.0  
1913      8               11.9              110.3  
1913      9                9.7              169.9  
1913     10                8.6               68.8  
1913     11                3.5              162.2  
1913     12               -2.8              114.2  
1914      1               -7.9              149.5  
1914      2                0.7               54.5  
1914      3                0.7              226.9  
1914      4                6.9               60.0  
1914      5                7.5              124.8  
1914      6               10.5              140.7  
1914      7               12.6              296.0  
1914      8               13.4              146.0  
1914      9                8.9              147.7  
1914     10                5.9              117.7  
1914     11                0.3               51.3  
1914     12               -0.4               35.7  
1915      1               -4.0              138.5  
1915      2               -2.5               71.3  
1915      3               -1.2              131.9  
1915      4                3.2               97.7  
1915      5               11.8               60.4  
1915      6               14.2               77.5  
1915      7               12.7              234.1  
1915      8               11.6              162.3  
1915      9                8.6              183.3  
1915     10                3.2               20.9  
1915     11               -2.4               57.2  
1915     12                1.8               98.0  
1916      1               -1.8              144.6  
1916      2               -1.4              117.3  
1916      3                1.4              109.0  
1916      4                4.5              151.5  
